1st iteration,Deliver Goods / Equipment ZS-Persona-cot,,,,,Food Logistics ZS-Persona-cot,,,,
,r1,r2,r3,r4,r5,r1,r2,r3,r4,r5
T,100,100,100,100,100,95,100,100,100,100
MAI,85,95,50,50,50,86,50,78,95,93
GTC_A,0,100,0,100,66,100,100,100,100,100
GTC_Q,80,-,-,0,100,100,100,100,100,100
GTC_P,80,100,90,94,85,100,100,100,100,100
IC,80,75,50,91,83,100,50,91,91,75
NR,100,100,100,100,100,100,100,100,100,100
DLC,100,100,100,100,100,75,50,100,50,100
RAC,33,33,33,33,33,100,66,88,100,87
,,,,,,,,,,
,,,,,,,,,,
1st iteration,Deliver Goods / Equipment FS-Persona-cot,,,,,Food Logistics FS-Persona-cot,,,,
,r1,r2,r3,r4,r5,r1,r2,r3,r4,r5
T,100,100,100,100,100,100,100,100,100,100
MAI,25,40,50,33,38,97,91,91,89,100
GTC_A,0,100,100,0,100,0,100,0,100,100
GTC_Q,-,100,-,100,-,100,100,100,100,100
GTC_P,93,100,100,94,100,76,100,88,100,100
IC,91,75,83,83,75,83,83,91,91,91
NR,100,100,100,100,100,100,100,100,100,100
DLC,100,50,50,50,100,50,50,100,50,50
RAC,100,66,66,100,100,100,66,100,100,100
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,,,,,Food Logistics ZS-Persona-cot,,,,
,r1,r2,r3,r4,r5,r1,r2,r3,r4,r5
T,100,100,100,100,100,100,100,100,100,100
MAI,44,95,50,95,40,95,92,91,75,92
GTC_A,100,100,85,66,0,100,100,100,50,100
GTC_Q,100,100,0,100,66,100,100,100,100,100
GTC_P,100,100,94,92,89,100,100,100,92,100
IC,91,91,100,91,100,100,91,91,83,91
NR,100,100,100,100,100,100,100,100,100,100
DLC,100,100,50,100,100,100,100,100,68,100
RAC,100,100,66,100,66,100,100,100,100,100
,,,,,,,,,,
,,,,,,,,,,
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,,,,,Food Logistics FS-Persona-cot,,,,
,r1,r2,r3,r4,r5,r1,r2,r3,r4,r5
T,100,100,100,100,100,100,100,100,100,100
MAI,45,20,50,36,90,93,91,90,96,93
GTC_A,85,100,100,100,100,85,100,100,66,100
GTC_Q,-,0,100,100,100,100,100,100,100,100
GTC_P,90,93,100,100,95,92,100,100,97,100
IC,83,91,83,100,91,91,91,91,100,91
NR,100,100,100,100,100,100,100,100,100,100
DLC,100,100,100,100,100,100,100,100,75,50
RAC,66,66,66,100,100,100,100,100,100,100
