iteration,scenario,metric,score
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,37.2
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,60.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,97.4
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,81.4
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,70.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,86.4
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,66.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,53.2
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,60.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,89.8
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,75.8
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,33.0
1st iteration,Food Logistics FS-Persona-cot,T,100.0
1st iteration,Food Logistics FS-Persona-cot,MAI,93.6
1st iteration,Food Logistics FS-Persona-cot,GTC_A,60.0
1st iteration,Food Logistics FS-Persona-cot,GTC_Q,100.0
1st iteration,Food Logistics FS-Persona-cot,GTC_P,92.8
1st iteration,Food Logistics FS-Persona-cot,IC,87.8
1st iteration,Food Logistics FS-Persona-cot,NR,100.0
1st iteration,Food Logistics FS-Persona-cot,DLC,60.0
1st iteration,Food Logistics FS-Persona-cot,RAC,93.2
1st iteration,Food Logistics ZS-Persona-cot,T,99.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,80.4
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,100.0
1st iteration,Food Logistics ZS-Persona-cot,IC,81.4
1st iteration,Food Logistics ZS-Persona-cot,NR,100.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,75.0
1st iteration,Food Logistics ZS-Persona-cot,RAC,88.2
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,48.2
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,97.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,75.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,95.6
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,89.6
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,79.6
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,64.8
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,70.2
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,73.2
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,95.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,94.6
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,90.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,86.4
2nd iteration,Food Logistics FS-Persona-cot,T,100.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,92.6
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,90.2
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,97.8
2nd iteration,Food Logistics FS-Persona-cot,IC,92.8
2nd iteration,Food Logistics FS-Persona-cot,NR,100.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,85.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,100.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,89.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,90.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,98.4
2nd iteration,Food Logistics ZS-Persona-cot,IC,91.2
2nd iteration,Food Logistics ZS-Persona-cot,NR,100.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,93.6
2nd iteration,Food Logistics ZS-Persona-cot,RAC,100.0
