iteration,scenario,metric,run,score
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,r1,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,r2,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,r3,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,r4,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,T,r5,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r1,25.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r2,40.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r3,50.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r4,33.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r5,38.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r1,0.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r2,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r3,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r4,0.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r5,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r1,
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r2,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r3,
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r4,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r5,
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r1,93.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r2,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r3,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r4,94.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r5,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r1,91.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r2,75.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r3,83.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r4,83.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r5,75.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r1,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r2,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r3,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r4,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r5,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r1,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r2,50.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r3,50.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r4,50.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r5,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r1,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r2,66.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r3,66.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r4,100.0
1st iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r5,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r1,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r2,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r3,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r4,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r5,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r1,85.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r2,95.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r3,50.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r4,50.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r5,50.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r1,0.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r2,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r3,0.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r4,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r5,66.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r1,80.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r2,
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r3,
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r4,0.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r5,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r1,80.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r2,100.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r3,90.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r4,94.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r5,85.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r1,80.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r2,75.0
1st iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r3,50.0
