Iteration,Mission,Technique,Metric,Mean,Standard_deviation,N,Estimate
1st iteration,Deliver Goods / Equipment,ZS,T,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,ZS,MAI,66.0,22.19,5,$66.00 \pm 22.19$
1st iteration,Deliver Goods / Equipment,ZS,GTC_A,53.2,50.51,5,$53.20 \pm 50.51$
1st iteration,Deliver Goods / Equipment,ZS,GTC_Q,60.0,52.92,3,$60.00 \pm 52.92$
1st iteration,Deliver Goods / Equipment,ZS,GTC_P,89.8,7.76,5,$89.80 \pm 7.76$
1st iteration,Deliver Goods / Equipment,ZS,IC,75.8,15.55,5,$75.80 \pm 15.55$
1st iteration,Deliver Goods / Equipment,ZS,NR,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,ZS,DLC,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,ZS,RAC,33.0,0.0,5,$33.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,FS,T,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,FS,MAI,37.2,9.2,5,$37.20 \pm 9.20$
1st iteration,Deliver Goods / Equipment,FS,GTC_A,60.0,54.77,5,$60.00 \pm 54.77$
1st iteration,Deliver Goods / Equipment,FS,GTC_Q,100.0,0.0,2,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,FS,GTC_P,97.4,3.58,5,$97.40 \pm 3.58$
1st iteration,Deliver Goods / Equipment,FS,IC,81.4,6.69,5,$81.40 \pm 6.69$
1st iteration,Deliver Goods / Equipment,FS,NR,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Deliver Goods / Equipment,FS,DLC,70.0,27.39,5,$70.00 \pm 27.39$
1st iteration,Deliver Goods / Equipment,FS,RAC,86.4,18.62,5,$86.40 \pm 18.62$
1st iteration,Food Logistics,ZS,T,99.0,2.24,5,$99.00 \pm 2.24$
1st iteration,Food Logistics,ZS,MAI,80.4,18.26,5,$80.40 \pm 18.26$
1st iteration,Food Logistics,ZS,GTC_A,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,ZS,GTC_Q,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,ZS,GTC_P,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,ZS,IC,81.4,19.73,5,$81.40 \pm 19.73$
1st iteration,Food Logistics,ZS,NR,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,ZS,DLC,75.0,25.0,5,$75.00 \pm 25.00$
1st iteration,Food Logistics,ZS,RAC,88.2,13.9,5,$88.20 \pm 13.90$
1st iteration,Food Logistics,FS,T,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,FS,MAI,93.6,4.67,5,$93.60 \pm 4.67$
1st iteration,Food Logistics,FS,GTC_A,60.0,54.77,5,$60.00 \pm 54.77$
1st iteration,Food Logistics,FS,GTC_Q,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,FS,GTC_P,92.8,10.73,5,$92.80 \pm 10.73$
1st iteration,Food Logistics,FS,IC,87.8,4.38,5,$87.80 \pm 4.38$
1st iteration,Food Logistics,FS,NR,100.0,0.0,5,$100.00 \pm 0.00$
1st iteration,Food Logistics,FS,DLC,60.0,22.36,5,$60.00 \pm 22.36$
1st iteration,Food Logistics,FS,RAC,93.2,15.21,5,$93.20 \pm 15.21$
2nd iteration,Deliver Goods / Equipment,ZS,T,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Deliver Goods / Equipment,ZS,MAI,64.8,27.8,5,$64.80 \pm 27.80$
2nd iteration,Deliver Goods / Equipment,ZS,GTC_A,70.2,41.66,5,$70.20 \pm 41.66$
2nd iteration,Deliver Goods / Equipment,ZS,GTC_Q,73.2,43.49,5,$73.20 \pm 43.49$
2nd iteration,Deliver Goods / Equipment,ZS,GTC_P,95.0,4.9,5,$95.00 \pm 4.90$
2nd iteration,Deliver Goods / Equipment,ZS,IC,94.6,4.93,5,$94.60 \pm 4.93$
2nd iteration,Deliver Goods / Equipment,ZS,NR,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Deliver Goods / Equipment,ZS,DLC,90.0,22.36,5,$90.00 \pm 22.36$
2nd iteration,Deliver Goods / Equipment,ZS,RAC,86.4,18.62,5,$86.40 \pm 18.62$
2nd iteration,Deliver Goods / Equipment,FS,T,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Deliver Goods / Equipment,FS,MAI,48.2,26.0,5,$48.20 \pm 26.00$
2nd iteration,Deliver Goods / Equipment,FS,GTC_A,97.0,6.71,5,$97.00 \pm 6.71$
2nd iteration,Deliver Goods / Equipment,FS,GTC_Q,75.0,50.0,4,$75.00 \pm 50.00$
2nd iteration,Deliver Goods / Equipment,FS,GTC_P,95.6,4.39,5,$95.60 \pm 4.39$
2nd iteration,Deliver Goods / Equipment,FS,IC,89.6,7.06,5,$89.60 \pm 7.06$
2nd iteration,Deliver Goods / Equipment,FS,NR,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Deliver Goods / Equipment,FS,DLC,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Deliver Goods / Equipment,FS,RAC,79.6,18.62,5,$79.60 \pm 18.62$
2nd iteration,Food Logistics,ZS,T,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,ZS,MAI,89.0,7.97,5,$89.00 \pm 7.97$
2nd iteration,Food Logistics,ZS,GTC_A,90.0,22.36,5,$90.00 \pm 22.36$
2nd iteration,Food Logistics,ZS,GTC_Q,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,ZS,GTC_P,98.4,3.58,5,$98.40 \pm 3.58$
2nd iteration,Food Logistics,ZS,IC,91.2,6.02,5,$91.20 \pm 6.02$
2nd iteration,Food Logistics,ZS,NR,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,ZS,DLC,93.6,14.31,5,$93.60 \pm 14.31$
2nd iteration,Food Logistics,ZS,RAC,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,FS,T,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,FS,MAI,92.6,2.3,5,$92.60 \pm 2.30$
2nd iteration,Food Logistics,FS,GTC_A,90.2,15.01,5,$90.20 \pm 15.01$
2nd iteration,Food Logistics,FS,GTC_Q,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,FS,GTC_P,97.8,3.49,5,$97.80 \pm 3.49$
2nd iteration,Food Logistics,FS,IC,92.8,4.02,5,$92.80 \pm 4.02$
2nd iteration,Food Logistics,FS,NR,100.0,0.0,5,$100.00 \pm 0.00$
2nd iteration,Food Logistics,FS,DLC,85.0,22.36,5,$85.00 \pm 22.36$
2nd iteration,Food Logistics,FS,RAC,100.0,0.0,5,$100.00 \pm 0.00$
